run_id,run_name,use_lora,use_last_layer,optim_algorithm,use_scheduler,scheduler_type,train_subset_size,dev_subset_size,test_subset_size,epochs,lr,weight_decay,warmup_steps,lora_r,lora_alpha,lora_dropout,best_dev_loss,best_epoch,best_dev_f1,final_dev_f1,dev_f1_gain,dev_acc,dev_yes_rate,dev_no_rate,dev_yes_count,dev_no_count,dev_is_collapsed,total_params,trainable_params,checkpoint_path,dev_out_path,test_out_path,phase,method_name
1,last-layer-adam-trial1,False,True,adam,False,linear,1200,400,400,6,5e-05,0.0,0,,,,0.6684007048606873,5,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/trial_1_last-layer-adam-trial1.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/predictions/trial_1_last-layer-adam-trial1_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/predictions/trial_1_last-layer-adam-trial1_test.csv,tuning,last-layer-adam
2,last-layer-adam-trial2,False,True,adam,False,linear,1200,400,400,6,0.0001,0.0,0,,,,0.6616228008270264,5,0.38271604938271603,0.37984496124031014,0.0,0.6125,0.0075,0.9925,3,397,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/trial_2_last-layer-adam-trial2.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/predictions/trial_2_last-layer-adam-trial2_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/predictions/trial_2_last-layer-adam-trial2_test.csv,tuning,last-layer-adam
3,last-layer-adam-trial3,False,True,adam,False,linear,1200,400,400,6,0.0002,0.0,0,,,,0.6439843571186066,5,0.4638310888007269,0.42067866134002085,0.08111503941801085,0.6275,0.0225,0.9775,9,391,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/trial_3_last-layer-adam-trial3.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/predictions/trial_3_last-layer-adam-trial3_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/predictions/trial_3_last-layer-adam-trial3_test.csv,tuning,last-layer-adam
4,last-layer-adam-trial4,False,True,adam,False,linear,1200,400,400,6,0.0005,0.0,0,,,,0.6462943780422211,5,0.626657646314497,0.38271604938271603,0.23498386615574357,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/trial_4_last-layer-adam-trial4.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/predictions/trial_4_last-layer-adam-trial4_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/predictions/trial_4_last-layer-adam-trial4_test.csv,tuning,last-layer-adam
5,last-layer-adam-trial5,False,True,adam,False,linear,1200,400,400,6,0.001,0.0,0,,,,0.612813395857811,4,0.5168589023850838,0.38271604938271603,0.13414285300236778,0.645,0.105,0.895,42,358,False,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/trial_5_last-layer-adam-trial5.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/predictions/trial_5_last-layer-adam-trial5_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_1_last-layer-adam/predictions/trial_5_last-layer-adam-trial5_test.csv,tuning,last-layer-adam
1,last-layer-adamw-cosine-trial1,False,True,adamw,True,cosine,1200,400,400,6,0.0005,0.01,50,,,,0.6415460914373398,5,0.611494861815786,0.38271604938271603,0.22877881243307002,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_1_last-layer-adamw-cosine-trial1.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_1_last-layer-adamw-cosine-trial1_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_1_last-layer-adamw-cosine-trial1_test.csv,tuning,last-layer-adamw-cosine
2,last-layer-adamw-cosine-trial2,False,True,adamw,True,cosine,1200,400,400,6,0.0001,0.01,50,,,,0.6686791622638703,5,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_2_last-layer-adamw-cosine-trial2.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_2_last-layer-adamw-cosine-trial2_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_2_last-layer-adamw-cosine-trial2_test.csv,tuning,last-layer-adamw-cosine
3,last-layer-adamw-cosine-trial3,False,True,adamw,True,cosine,1200,400,400,6,0.0002,0.0,0,,,,0.6582465952634812,5,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_3_last-layer-adamw-cosine-trial3.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_3_last-layer-adamw-cosine-trial3_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_3_last-layer-adamw-cosine-trial3_test.csv,tuning,last-layer-adamw-cosine
4,last-layer-adamw-cosine-trial4,False,True,adamw,True,cosine,1200,400,400,6,0.0001,0.01,0,,,,0.6679940980672836,5,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_4_last-layer-adamw-cosine-trial4.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_4_last-layer-adamw-cosine-trial4_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_4_last-layer-adamw-cosine-trial4_test.csv,tuning,last-layer-adamw-cosine
5,last-layer-adamw-cosine-trial5,False,True,adamw,True,cosine,1200,400,400,6,5e-05,0.0,50,,,,0.6732356613874435,3,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_5_last-layer-adamw-cosine-trial5.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_5_last-layer-adamw-cosine-trial5_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_5_last-layer-adamw-cosine-trial5_test.csv,tuning,last-layer-adamw-cosine
