run_id,run_name,epoch,train_loss,dev_loss,dev_acc,dev_f1,lr
1,last-layer-adam-trial1,0,0.984173075358073,0.6827574533224106,0.62,0.38271604938271603,5e-05
1,last-layer-adam-trial1,1,0.6899517099062602,0.6804612052440643,0.62,0.38271604938271603,5e-05
1,last-layer-adam-trial1,2,0.6922517786423366,0.6732271134853363,0.62,0.38271604938271603,5e-05
1,last-layer-adam-trial1,3,0.69044329226017,0.6708239668607712,0.62,0.38271604938271603,5e-05
1,last-layer-adam-trial1,4,0.6822709558407466,0.6694656193256379,0.62,0.38271604938271603,5e-05
1,last-layer-adam-trial1,5,0.6797062512238821,0.6684007048606873,0.62,0.38271604938271603,5e-05
2,last-layer-adam-trial2,0,0.8428241610527039,0.6856656557321549,0.62,0.38271604938271603,0.0001
2,last-layer-adam-trial2,1,0.6885491565863291,0.6811345273256302,0.62,0.38271604938271603,0.0001
2,last-layer-adam-trial2,2,0.6853043405214946,0.6707282084226608,0.62,0.38271604938271603,0.0001
2,last-layer-adam-trial2,3,0.681851704120636,0.6646950578689576,0.62,0.38271604938271603,0.0001
2,last-layer-adam-trial2,4,0.6747132986783981,0.66288614153862,0.62,0.38271604938271603,0.0001
2,last-layer-adam-trial2,5,0.6690893812974295,0.6616228008270264,0.6125,0.37984496124031014,0.0001
3,last-layer-adam-trial3,0,0.7762819309035937,0.6831475496292114,0.62,0.38271604938271603,0.0002
3,last-layer-adam-trial3,1,0.6852125348647435,0.6635432589054108,0.62,0.38271604938271603,0.0002
3,last-layer-adam-trial3,2,0.6783846547206243,0.6601337134838104,0.62,0.38271604938271603,0.0002
3,last-layer-adam-trial3,3,0.6710300157467525,0.6570293915271759,0.62,0.40625,0.0002
3,last-layer-adam-trial3,4,0.6622798015673955,0.6558911406993866,0.6275,0.4638310888007269,0.0002
3,last-layer-adam-trial3,5,0.6575744273265203,0.6439843571186066,0.6275,0.42067866134002085,0.0002
4,last-layer-adam-trial4,0,0.7372761949896812,0.6690175902843475,0.6125,0.3916737801587535,0.0005
4,last-layer-adam-trial4,1,0.676798041264216,0.6516681098937989,0.62,0.40625,0.0005
4,last-layer-adam-trial4,2,0.673205571770668,0.6471336477994919,0.62,0.38271604938271603,0.0005
4,last-layer-adam-trial4,3,0.6600635300079981,0.6477561181783676,0.62,0.38271604938271603,0.0005
4,last-layer-adam-trial4,4,0.6566972136497498,0.6615533983707428,0.6275,0.626657646314497,0.0005
4,last-layer-adam-trial4,5,0.6511325124899546,0.6462943780422211,0.62,0.38271604938271603,0.0005
5,last-layer-adam-trial5,0,0.7870947934190432,0.6540334868431091,0.62,0.38271604938271603,0.001
5,last-layer-adam-trial5,1,0.6804872475067775,0.6378469920158386,0.62,0.38271604938271603,0.001
5,last-layer-adam-trial5,2,0.6928411469856898,0.6663410949707032,0.62,0.38271604938271603,0.001
5,last-layer-adam-trial5,3,0.6662729686498642,0.6562538224458695,0.62,0.38271604938271603,0.001
5,last-layer-adam-trial5,4,0.6615108996629715,0.612813395857811,0.645,0.5168589023850838,0.001
5,last-layer-adam-trial5,5,0.6565381888548533,0.7198117452859879,0.62,0.38271604938271603,0.001
