run_id,run_name,use_lora,use_last_layer,optim_algorithm,use_scheduler,scheduler_type,train_subset_size,dev_subset_size,test_subset_size,epochs,lr,weight_decay,warmup_steps,lora_r,lora_alpha,lora_dropout,best_dev_loss,best_epoch,best_dev_f1,final_dev_f1,dev_f1_gain,dev_acc,dev_yes_rate,dev_no_rate,dev_yes_count,dev_no_count,dev_is_collapsed,total_params,trainable_params,checkpoint_path,dev_out_path,test_out_path
1,last-layer-adamw-cosine-trial1,False,True,adamw,True,cosine,1200,400,400,6,0.0005,0.01,50,,,,0.6415460914373398,5,0.611494861815786,0.38271604938271603,0.22877881243307002,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_1_last-layer-adamw-cosine-trial1.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_1_last-layer-adamw-cosine-trial1_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_1_last-layer-adamw-cosine-trial1_test.csv
2,last-layer-adamw-cosine-trial2,False,True,adamw,True,cosine,1200,400,400,6,0.0001,0.01,50,,,,0.6686791622638703,5,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_2_last-layer-adamw-cosine-trial2.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_2_last-layer-adamw-cosine-trial2_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_2_last-layer-adamw-cosine-trial2_test.csv
3,last-layer-adamw-cosine-trial3,False,True,adamw,True,cosine,1200,400,400,6,0.0002,0.0,0,,,,0.6582465952634812,5,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_3_last-layer-adamw-cosine-trial3.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_3_last-layer-adamw-cosine-trial3_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_3_last-layer-adamw-cosine-trial3_test.csv
4,last-layer-adamw-cosine-trial4,False,True,adamw,True,cosine,1200,400,400,6,0.0001,0.01,0,,,,0.6679940980672836,5,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_4_last-layer-adamw-cosine-trial4.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_4_last-layer-adamw-cosine-trial4_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_4_last-layer-adamw-cosine-trial4_test.csv
5,last-layer-adamw-cosine-trial5,False,True,adamw,True,cosine,1200,400,400,6,5e-05,0.0,50,,,,0.6732356613874435,3,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_5_last-layer-adamw-cosine-trial5.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_5_last-layer-adamw-cosine-trial5_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_5_last-layer-adamw-cosine-trial5_test.csv
6,last-layer-adamw-cosine-trial6,False,True,adamw,True,cosine,1200,400,400,6,0.0001,0.0,50,,,,0.6686834645271301,5,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_6_last-layer-adamw-cosine-trial6.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_6_last-layer-adamw-cosine-trial6_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_6_last-layer-adamw-cosine-trial6_test.csv
7,last-layer-adamw-cosine-trial7,False,True,adamw,True,cosine,1200,400,400,6,0.001,0.0,0,,,,0.624586495757103,5,0.5168589023850838,0.4499698613622664,0.13414285300236778,0.635,0.04,0.96,16,384,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_7_last-layer-adamw-cosine-trial7.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_7_last-layer-adamw-cosine-trial7_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_7_last-layer-adamw-cosine-trial7_test.csv
8,last-layer-adamw-cosine-trial8,False,True,adamw,True,cosine,1200,400,400,6,0.001,0.01,20,,,,0.6249352365732193,5,0.5185700506184326,0.4499698613622664,0.12872652949024932,0.635,0.04,0.96,16,384,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_8_last-layer-adamw-cosine-trial8.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_8_last-layer-adamw-cosine-trial8_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_8_last-layer-adamw-cosine-trial8_test.csv
9,last-layer-adamw-cosine-trial9,False,True,adamw,True,cosine,1200,400,400,6,5e-05,0.01,20,,,,0.67311154961586,3,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_9_last-layer-adamw-cosine-trial9.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_9_last-layer-adamw-cosine-trial9_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_9_last-layer-adamw-cosine-trial9_test.csv
10,last-layer-adamw-cosine-trial10,False,True,adamw,True,cosine,1200,400,400,6,5e-05,0.01,50,,,,0.6732331335544586,3,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_10_last-layer-adamw-cosine-trial10.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_10_last-layer-adamw-cosine-trial10_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_10_last-layer-adamw-cosine-trial10_test.csv
11,last-layer-adamw-cosine-trial11,False,True,adamw,True,cosine,1200,400,400,6,0.0001,0.01,20,,,,0.668410964012146,5,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_11_last-layer-adamw-cosine-trial11.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_11_last-layer-adamw-cosine-trial11_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_11_last-layer-adamw-cosine-trial11_test.csv
12,last-layer-adamw-cosine-trial12,False,True,adamw,True,cosine,1200,400,400,6,0.0001,0.0,20,,,,0.6684152352809906,5,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125031938,1538,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/trial_12_last-layer-adamw-cosine-trial12.pt,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_12_last-layer-adamw-cosine-trial12_dev.csv,results/paraphrase_last_layer_pipeline/last_layer_tuning_then_final/phase1_tuning/method_2_last-layer-adamw-cosine/predictions/trial_12_last-layer-adamw-cosine-trial12_test.csv
