run_id,run_name,use_lora,optim_algorithm,use_scheduler,scheduler_type,train_subset_size,dev_subset_size,test_subset_size,epochs,lr,weight_decay,warmup_steps,lora_r,lora_alpha,lora_dropout,best_dev_loss,best_epoch,best_dev_f1,final_dev_f1,dev_f1_gain,dev_acc,dev_yes_rate,dev_no_rate,dev_yes_count,dev_no_count,dev_is_collapsed,total_params,trainable_params,checkpoint_path,dev_out_path,test_out_path
24,lora-adamw-cosine-focus-trial24,True,adamw,True,cosine,1200,400,400,8,0.0002,0.05,0,8,32.0,0.0,0.5056231123209,6,0.7507068772100165,0.7494715415329211,0.36799082782730047,0.7625,0.4025,0.5975,161,239,False,125326850,296450,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_24_lora-adamw-cosine-focus-trial24.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_24_lora-adamw-cosine-focus-trial24_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_24_lora-adamw-cosine-focus-trial24_test.csv
10,lora-adamw-cosine-focus-trial10,True,adamw,True,cosine,1200,400,400,8,0.0003,0.05,50,8,16.0,0.05,0.5239072167873382,6,0.7307692307692308,0.7307692307692308,0.3480531813865148,0.7525,0.3175,0.6825,127,273,False,125326850,296450,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_10_lora-adamw-cosine-focus-trial10.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_10_lora-adamw-cosine-focus-trial10_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_10_lora-adamw-cosine-focus-trial10_test.csv
22,lora-adamw-cosine-focus-trial22,True,adamw,True,cosine,1200,400,400,8,0.0003,0.0,10,4,16.0,0.05,0.5135435286164284,7,0.7264336838683902,0.7264336838683902,0.27745234336390506,0.7475,0.3425,0.6575,137,263,False,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_22_lora-adamw-cosine-focus-trial22.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_22_lora-adamw-cosine-focus-trial22_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_22_lora-adamw-cosine-focus-trial22_test.csv
13,lora-adamw-cosine-focus-trial13,True,adamw,True,cosine,1200,400,400,8,0.0003,0.05,10,4,16.0,0.1,0.5135082036256791,7,0.7206933377146143,0.7206933377146143,0.17164594360345076,0.745,0.325,0.675,130,270,False,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_13_lora-adamw-cosine-focus-trial13.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_13_lora-adamw-cosine-focus-trial13_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_13_lora-adamw-cosine-focus-trial13_test.csv
17,lora-adamw-cosine-focus-trial17,True,adamw,True,cosine,1200,400,400,8,0.0002,0.0,10,4,32.0,0.05,0.5279704678058624,7,0.686932215234102,0.686932215234102,0.13186477134347663,0.72,0.295,0.705,118,282,False,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_17_lora-adamw-cosine-focus-trial17.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_17_lora-adamw-cosine-focus-trial17_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_17_lora-adamw-cosine-focus-trial17_test.csv
18,lora-adamw-cosine-focus-trial18,True,adamw,True,cosine,1200,400,400,8,0.0002,0.01,20,4,16.0,0.05,0.5714836198091507,7,0.6676092992096059,0.661295017332169,0.26483815730802923,0.68,0.385,0.615,154,246,False,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_18_lora-adamw-cosine-focus-trial18.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_18_lora-adamw-cosine-focus-trial18_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_18_lora-adamw-cosine-focus-trial18_test.csv
19,lora-adamw-cosine-focus-trial19,True,adamw,True,cosine,1200,400,400,8,0.0002,0.0,10,4,16.0,0.0,0.5741589730978012,7,0.645298778569181,0.645298778569181,0.24794849328258223,0.69,0.265,0.735,106,294,False,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_19_lora-adamw-cosine-focus-trial19.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_19_lora-adamw-cosine-focus-trial19_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_19_lora-adamw-cosine-focus-trial19_test.csv
12,lora-adamw-cosine-focus-trial12,True,adamw,True,cosine,1200,400,400,8,0.0001,0.0,0,4,16.0,0.1,0.6324784076213836,7,0.5405332746780067,0.4499698613622664,0.1354068640402672,0.635,0.04,0.96,16,384,True,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_12_lora-adamw-cosine-focus-trial12.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_12_lora-adamw-cosine-focus-trial12_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_12_lora-adamw-cosine-focus-trial12_test.csv
9,lora-adamw-cosine-focus-trial9,True,adamw,True,cosine,1200,400,400,8,0.0003,0.0,0,16,32.0,0.05,0.6191883838176727,7,0.4272224157281629,0.4230712624731404,0.04450636634544686,0.6325,0.0175,0.9825,7,393,True,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_9_lora-adamw-cosine-focus-trial9.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_9_lora-adamw-cosine-focus-trial9_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_9_lora-adamw-cosine-focus-trial9_test.csv
2,lora-adamw-cosine-focus-trial2,True,adamw,True,cosine,1200,400,400,8,0.0001,0.01,50,8,32.0,0.05,0.6189635795354843,6,0.4230712624731404,0.40277114190157665,0.04035521309042439,0.63,0.015,0.985,6,394,True,125326850,296450,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_2_lora-adamw-cosine-focus-trial2.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_2_lora-adamw-cosine-focus-trial2_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_2_lora-adamw-cosine-focus-trial2_test.csv
23,lora-adamw-cosine-focus-trial23,True,adamw,True,cosine,1200,400,400,8,5e-05,0.01,20,4,32.0,0.0,0.6482688307762146,7,0.39688794177958264,0.38271604938271603,0.01994090128114029,0.62,0.0,1.0,0,400,True,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_23_lora-adamw-cosine-focus-trial23.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_23_lora-adamw-cosine-focus-trial23_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_23_lora-adamw-cosine-focus-trial23_test.csv
4,lora-adamw-cosine-focus-trial4,True,adamw,True,cosine,1200,400,400,8,0.0003,0.0,20,16,16.0,0.05,0.6243621343374253,7,0.38884644766997706,0.38884644766997706,0.00613039828726103,0.62,0.005,0.995,2,398,True,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_4_lora-adamw-cosine-focus-trial4.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_4_lora-adamw-cosine-focus-trial4_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_4_lora-adamw-cosine-focus-trial4_test.csv
6,lora-adamw-cosine-focus-trial6,True,adamw,True,cosine,1200,400,400,8,0.0002,0.01,0,16,32.0,0.1,0.6379253554344178,7,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_6_lora-adamw-cosine-focus-trial6.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_6_lora-adamw-cosine-focus-trial6_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_6_lora-adamw-cosine-focus-trial6_test.csv
16,lora-adamw-cosine-focus-trial16,True,adamw,True,cosine,1200,400,400,8,0.0001,0.01,10,16,32.0,0.1,0.6413858330249786,4,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_16_lora-adamw-cosine-focus-trial16.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_16_lora-adamw-cosine-focus-trial16_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_16_lora-adamw-cosine-focus-trial16_test.csv
3,lora-adamw-cosine-focus-trial3,True,adamw,True,cosine,1200,400,400,8,5e-05,0.05,50,8,32.0,0.0,0.6415586137771606,6,0.38271604938271603,0.38271604938271603,0.0,0.62,0.0,1.0,0,400,True,125326850,296450,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_3_lora-adamw-cosine-focus-trial3.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_3_lora-adamw-cosine-focus-trial3_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_3_lora-adamw-cosine-focus-trial3_test.csv
