run_id,run_name,use_lora,optim_algorithm,use_scheduler,scheduler_type,train_subset_size,dev_subset_size,test_subset_size,epochs,lr,weight_decay,warmup_steps,lora_r,lora_alpha,lora_dropout,best_dev_loss,best_epoch,best_dev_f1,dev_acc,total_params,trainable_params,checkpoint_path,dev_out_path,test_out_path,phase,method_name
1,full-adam-trial1,False,adam,False,linear,1200,400,400,4,1e-05,0.0,0,,,,0.5519098389148712,3,0.7270499108734403,0.755,125031938,125031938,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_1_full-adam/trial_1_full-adam-trial1.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_1_full-adam/predictions/trial_1_full-adam-trial1_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_1_full-adam/predictions/trial_1_full-adam-trial1_test.csv,tuning,full-adam
2,full-adam-trial2,False,adam,False,linear,1200,400,400,4,2e-05,0.0,0,,,,0.45033738523721695,3,0.7388004215399138,0.76,125031938,125031938,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_1_full-adam/trial_2_full-adam-trial2.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_1_full-adam/predictions/trial_2_full-adam-trial2_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_1_full-adam/predictions/trial_2_full-adam-trial2_test.csv,tuning,full-adam
3,full-adam-trial3,False,adam,False,linear,1200,400,400,4,3e-05,0.0,0,,,,0.472646114975214,3,0.7611940298507462,0.7675,125031938,125031938,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_1_full-adam/trial_3_full-adam-trial3.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_1_full-adam/predictions/trial_3_full-adam-trial3_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_1_full-adam/predictions/trial_3_full-adam-trial3_test.csv,tuning,full-adam
1,full-adamw-cosine-trial1,False,adamw,True,cosine,1200,400,400,4,1e-05,0.01,20,,,,0.6185919910669326,3,0.42968750000000006,0.635,125031938,125031938,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/trial_1_full-adamw-cosine-trial1.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/predictions/trial_1_full-adamw-cosine-trial1_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/predictions/trial_1_full-adamw-cosine-trial1_test.csv,tuning,full-adamw-cosine
2,full-adamw-cosine-trial2,False,adamw,True,cosine,1200,400,400,4,1e-05,0.0,20,,,,0.6186248433589935,3,0.42968750000000006,0.635,125031938,125031938,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/trial_2_full-adamw-cosine-trial2.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/predictions/trial_2_full-adamw-cosine-trial2_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/predictions/trial_2_full-adamw-cosine-trial2_test.csv,tuning,full-adamw-cosine
3,full-adamw-cosine-trial3,False,adamw,True,cosine,1200,400,400,4,3e-05,0.01,50,,,,0.4766284957528114,3,0.7650537743300996,0.7825,125031938,125031938,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/trial_3_full-adamw-cosine-trial3.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/predictions/trial_3_full-adamw-cosine-trial3_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/predictions/trial_3_full-adamw-cosine-trial3_test.csv,tuning,full-adamw-cosine
4,full-adamw-cosine-trial4,False,adamw,True,cosine,1200,400,400,4,3e-05,0.0,20,,,,0.5965131551027298,3,0.6287101996762008,0.6775,125031938,125031938,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/trial_4_full-adamw-cosine-trial4.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/predictions/trial_4_full-adamw-cosine-trial4_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/predictions/trial_4_full-adamw-cosine-trial4_test.csv,tuning,full-adamw-cosine
5,full-adamw-cosine-trial5,False,adamw,True,cosine,1200,400,400,4,1e-05,0.0,0,,,,0.6242397677898407,3,0.38271604938271603,0.62,125031938,125031938,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/trial_5_full-adamw-cosine-trial5.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/predictions/trial_5_full-adamw-cosine-trial5_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/predictions/trial_5_full-adamw-cosine-trial5_test.csv,tuning,full-adamw-cosine
6,full-adamw-cosine-trial6,False,adamw,True,cosine,1200,400,400,4,3e-05,0.01,20,,,,0.5965130317211151,3,0.6287101996762008,0.6775,125031938,125031938,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/trial_6_full-adamw-cosine-trial6.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/predictions/trial_6_full-adamw-cosine-trial6_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_2_full-adamw-cosine/predictions/trial_6_full-adamw-cosine-trial6_test.csv,tuning,full-adamw-cosine
1,lora-adam-trial1,True,adam,False,linear,1200,400,400,4,0.0002,0.0,0,16,16.0,0.0,0.671357873082161,3,0.38271604938271603,0.62,125621762,591362,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/trial_1_lora-adam-trial1.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/predictions/trial_1_lora-adam-trial1_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/predictions/trial_1_lora-adam-trial1_test.csv,tuning,lora-adam
