run_id,run_name,use_lora,optim_algorithm,use_scheduler,scheduler_type,train_subset_size,dev_subset_size,epochs,lr,weight_decay,warmup_steps,lora_r,lora_alpha,lora_dropout,best_dev_loss,best_dev_ppl,best_epoch,total_params,trainable_params,checkpoint_path,generated_sonnet_path,phase,method_name
1,full-adam-trial1,False,adam,False,linear,200,80,6,1e-05,0.0,0,,,,4.2928058945129965,73.17149221617592,5,163627776,163627776,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_1_full-adam/trial_1_full-adam-trial1.pt,,tuning,full-adam
2,full-adam-trial2,False,adam,False,linear,200,80,6,2e-05,0.0,0,,,,4.26925673440238,71.46849579892451,2,163627776,163627776,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_1_full-adam/trial_2_full-adam-trial2.pt,,tuning,full-adam
3,full-adam-trial3,False,adam,False,linear,200,80,6,3e-05,0.0,0,,,,4.264595103041034,71.13611134636902,2,163627776,163627776,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_1_full-adam/trial_3_full-adam-trial3.pt,,tuning,full-adam
1,full-adamw-cosine-trial1,False,adamw,True,cosine,200,80,6,1e-05,0.05,0,,,,4.333667362961814,76.22331316608413,5,163627776,163627776,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_2_full-adamw-cosine/trial_1_full-adamw-cosine-trial1.pt,,tuning,full-adamw-cosine
2,full-adamw-cosine-trial2,False,adamw,True,cosine,200,80,6,1e-05,0.0,20,,,,4.342143976799796,76.87217494740533,5,163627776,163627776,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_2_full-adamw-cosine/trial_2_full-adamw-cosine-trial2.pt,,tuning,full-adamw-cosine
3,full-adamw-cosine-trial3,False,adamw,True,cosine,200,80,6,1e-05,0.05,10,,,,4.339026905665888,76.6329319722716,5,163627776,163627776,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_2_full-adamw-cosine/trial_3_full-adamw-cosine-trial3.pt,,tuning,full-adamw-cosine
4,full-adamw-cosine-trial4,False,adamw,True,cosine,200,80,6,1e-05,0.0,10,,,,4.339044446143035,76.63427616225242,5,163627776,163627776,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_2_full-adamw-cosine/trial_4_full-adamw-cosine-trial4.pt,,tuning,full-adamw-cosine
5,full-adamw-cosine-trial5,False,adamw,True,cosine,200,80,6,1e-05,0.01,10,,,,4.339041023610909,76.63401387942912,5,163627776,163627776,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_2_full-adamw-cosine/trial_5_full-adamw-cosine-trial5.pt,,tuning,full-adamw-cosine
6,full-adamw-cosine-trial6,False,adamw,True,cosine,200,80,6,1e-05,0.01,50,,,,4.351685283340026,77.60914617626216,4,163627776,163627776,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_2_full-adamw-cosine/trial_6_full-adamw-cosine-trial6.pt,,tuning,full-adamw-cosine
7,full-adamw-cosine-trial7,False,adamw,True,cosine,200,80,6,2e-05,0.01,20,,,,4.272240611994378,71.68206751954668,4,163627776,163627776,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_2_full-adamw-cosine/trial_7_full-adamw-cosine-trial7.pt,,tuning,full-adamw-cosine
